Task;Model;mode;Target;MSE;RMSE;R2;CV_MSE;CV_STD
cdt;Random Forest;total;TOTAL DASS;2.998.470.706.835.660;17.316.092.823.832;-0.259556807611125;35.240.576.265.009.900;4.720.246.950.158.190
cdt;Random Forest;multi-output;Depression;35.746.649.029.713.800;5.978.850.142.771.080;-0.0767062960757181;492.296.342.003.387;0.9372959686404414
cdt;Random Forest;multi-output;Stress;42.371.061.960.922.300;650.930.579.715.858;-0.15269059482791159;492.296.342.003.387;0.9372959686404414
cdt;Random Forest;multi-output;Anxiety;41.220.992.734.606.200;6.420.357.679.647.310;-0.3100335838060051;492.296.342.003.387;0.9372959686404414
cdt;Random Forest;subscales;Depression;3.619.878.895.308.590;6.016.542.940.350.870;-0.09032496846644356;4.208.176.444.694.330;0.7905692791146425
cdt;Random Forest;subscales;Anxiety;41.220.992.734.606.200;6.420.357.679.647.310;-0.3100335838060051;4.219.686.625.091.240;1.237.469.808.680.380
cdt;Random Forest;subscales;Stress;42.371.061.960.922.300;650.930.579.715.858;-0.15269059482791159;62.916.935.120.536.900;15.929.008.344.899.700
cdt;Gradient Boosting;total;TOTAL DASS;26.729.635.637.046.000;16.349.200.481.077.300;-0.12282219248812054;31.783.548.855.505.000;48.180.203.053.720.500
cdt;Gradient Boosting;multi-output;Depression;3.390.759.489.402.230;5.823.022.831.315.560;-0.021313099217541875;45.012.473.430.027.900;7.148.464.578.907.820
cdt;Gradient Boosting;multi-output;Stress;4.131.603.934.098.210;64.277.553.890.127.200;-0.12398905667771531;45.012.473.430.027.900;7.148.464.578.907.820
cdt;Gradient Boosting;multi-output;Anxiety;37.007.432.385.910.400;6.083.373.437.979.160;-0.17612352492596473;45.012.473.430.027.900;7.148.464.578.907.820
cdt;Gradient Boosting;subscales;Depression;3.390.759.489.402.230;5.823.022.831.315.560;-0.021313099217541875;38.127.924.667.510.000;5.585.431.165.559.590
cdt;Gradient Boosting;subscales;Anxiety;37.007.432.385.910.400;6.083.373.437.979.160;-0.17612352492596473;3.761.537.282.245.260;6.602.190.131.813.800
cdt;Gradient Boosting;subscales;Stress;4.131.603.934.098.210;64.277.553.890.127.200;-0.12398905667771531;5.929.412.280.012.110;9.423.859.083.017.220
words;Linear Regression;total;TOTAL DASS;4.268.511.765.355.360;20.660.376.969.831.300;-0.1071516367885772;34.473.430.632.995.400;12.778.686.926.896.700
words;Linear Regression;multi-output;Depression;4.758.589.532.977.200;6.898.253.063.622.120;-0.036977055637340106;48.720.928.659.498.600;13.729.747.484.179.900
